127.0.0.1 - - [05/Mar/2021:20:51:53 +0900] "GET / HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:51:53 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:51:53 +0900] "GET /board/js/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:51:53 +0900] "GET /board/js/jquery.serializejson.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:51:53 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:51:54 +0900] "POST /board/List.do HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:00 +0900] "GET /board/UpdateHit.do?num=33 HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:00 +0900] "GET /board/ListReply.do?bonum=33 HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:19 +0900] "GET /board/ListReply.do?bonum=33 HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:22 +0900] "GET /board/UpdateHit.do?num=33 HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:22 +0900] "GET /board/ListReply.do?bonum=33 HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:25 +0900] "GET /board/ListReply.do?bonum=33 HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:34 +0900] "GET /board/UpdateHit.do?num=33 HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:34 +0900] "GET /board/ListReply.do?bonum=33 HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:38 +0900] "GET /board/ListReply.do?bonum=33 HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:40 +0900] "GET /board/UpdateHit.do?num=33 HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:40 +0900] "GET /board/ListReply.do?bonum=33 HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:45 +0900] "GET /board/ListReply.do?bonum=33 HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:47 +0900] "GET /board/UpdateHit.do?num=33 HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:47 +0900] "GET /board/ListReply.do?bonum=33 HTTP/1.1" 200 973
